Dataset name;ID;Name;"English
 name";Description field;Field type;unique;obligatory;length;Number of characters after the decimal point
Региональные представительства ФНС России;GA;Код территориального органа;Code of the territorial authority;"Код налогового органа. Используется ""Справочник кодов обозначения налоговых органов для целей учета налогоплательщиков"" (http://www.nalog.ru/rn77/program/all/soun/)";Characters;Yes;No;4;
;GB;"Полное
 наименование
";Full name;"Официальное название
 территориального органа
 федерального органа
 исполнительной власти";Text;Yes;Yes;150;
;G1;"Сокращенное
 наименование
";"Abbreviated
 name";"Сокращенное название
 территориального органа
 федерального органа
 исполнительной власти";Text;Yes;Yes;40;
;G2;"Фамилия, имя,
 отчество руководителя
";"Surname, First
 name,
 Patronymic,
 Post of heads ";"Фамилия, имя, отчество
 руководителя согласно
 заданному формату:
 <Фамилия> <Имя>
 <Отчество>";Text;No;Yes;512;
;G3;"Фамилия, имя,
 отчество заместителя
 руководителя
";"Surname, First
 name,
 Patronymic,
 Post of deputy
 of heads ";"Фамилия, имя, отчество
 заместителей руководителя согласно
 заданному формату через запятую:
 <Фамилия> <Имя>
 <Отчество>";Text;No;Yes;512;
;G4;"Описание задач и функций
";Description of the functions ;"Гиперссылка на страницу описания функций и задач в
 Интернете";Hyperlink;Yes;No;256;
;G5;"Фактический адрес
";Postal adress;"Индекс, Субъект РФ, Район,
 Город, Улица, Дом, Корпус";Formatted text;Yes;Yes;256;
;G6;"Номера телефонов
 справочных служб
";"Telephone
 number of the
 inquiries";"Номер телефона согласно
 заданному формату";Characters;Yes;Yes;256;
;G7;Факс;Fax;Номер факса;Characters;Yes;No;256;
;G8;"Адрес сайта
";URL;"Адрес сайта
 территориального органа в
 Интернете или url- адрес на
 страницу территориального
 органа в интернете внутри
 сайта ФОИВ согласно
 заданному формату";Hyperlink;Yes;Yes;256;
;G9;ИНН;INN;"Идентификационный номер
 налогоплательщика";Characters;Yes;Yes;10;
;G10;КПП;KPP;Код причины постановки;Characters;Yes;Yes;10;
;G11;"Адрес электронной
 почты
";E-mail;"Гиперссылка на адрес
 электронной почты согласно
 заданному формату.
 Использование латинского и
 кириллического словаря";Hyperlink;Yes;No;256;
